[ 2023-07-30 01:52:35,002 ] 224 werkzeug - WARNING -  * Debugger is active!
[ 2023-07-30 01:52:35,005 ] 224 werkzeug - INFO -  * Debugger PIN: 117-428-366
[ 2023-07-30 01:52:35,037 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\lapack.py', reloading
[ 2023-07-30 01:52:35,048 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_special_matrices.py', reloading
[ 2023-07-30 01:52:35,064 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_solvers.py', reloading
[ 2023-07-30 01:52:35,064 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_procrustes.py', reloading
[ 2023-07-30 01:52:35,064 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_sketches.py', reloading
[ 2023-07-30 01:52:35,064 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp_cossin.py', reloading
[ 2023-07-30 01:52:35,064 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\misc\\__init__.py', reloading
[ 2023-07-30 01:52:35,083 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\misc\\_common.py', reloading
[ 2023-07-30 01:52:35,088 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\ndimage\\__init__.py', reloading
[ 2023-07-30 01:52:35,094 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\ndimage\\_filters.py', reloading
